Date,Time,Location,Sub-location,Source,Notes,Longitude,Latitude,Postal,Area
5/27/2021,0000h -2359h,Tuas Amenity Centre Carpark Booth (71 Pioneer Road),NaN,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,"Added/ Updated on 2021-06-02, Date is from 27 May to 31 May",103.6522087,1.317204168,639591,Tuas
5/27/2021,0600h - 1900h,Food Hub (455 Sengkang West Avenue),NaN,https://www.channelnewsasia.com/news/singapore/beauty-world-decathlon-lab-covid-19-places-locations-may-29-14911060,Added/ Updated on 2021-05-30,103.8711904,1.391836883,790455,Seletar
5/27/2021,0645h - 1700h,Takashimaya (391A Orchard Road),St. Leaven,https://mothership.sg/2021/06/june-10-list-of-locations-visited-by-infectious-covid-19-cases/,"Added/ Updated on 2021-06-11, Date is till 31 May 2021",103.8348726,1.302407693,NIL,Orchard
5/27/2021,0750h - 0820h ,Sheng Shiong Supermarket (417 Fernvale Link),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.8798746,1.39158623,790417,Seletar
5/27/2021,0835h - 1105h,Marina Bay Sands (2 Bayfront Avenue),Miu Miu,https://www.todayonline.com/singapore/luxury-boutiques-marina-bay-sands-ion-orchard-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-06-10,103.8576291,1.283322499,18972,Straits View
5/27/2021,0905h - 1030h,Bukit Merah Community Centre (4000 Jalan Bukit Merah),NaN,https://www.channelnewsasia.com/news/singapore/beauty-world-decathlon-lab-covid-19-places-locations-may-29-14911060,Added/ Updated on 2021-05-30,103.8158285,1.285254273,159465,Bukit Merah
5/27/2021,0915h - 1400h,LeVel 33 (8 Marina Boulevard),NaN,https://www.channelnewsasia.com/news/singapore/beauty-world-decathlon-lab-covid-19-places-locations-may-29-14911060,Added/ Updated on 2021-05-30,103.8541884,1.27998145,18981,Straits View
5/27/2021,1100h - 2230h,Chop Joo Hiong Eating House (237 Serangoon Avenue 3),NaN,https://www.channelnewsasia.com/news/singapore/beauty-world-decathlon-lab-covid-19-places-locations-may-29-14911060,Added/ Updated on 2021-05-30,103.8701346,1.353811983,550237,Bishan
5/27/2021,1125h - 1210h,United Square Shopping Mall (101 Thomson Road),NaN,https://mothership.sg/2021/06/june-6-locations-visited-covid-19/,Added/ Updated on 2021-06-07,103.843667,1.317071766,NIL,Newton
5/27/2021,1125h - 2035h,Tiong Bahru Plaza (298 Tiong Bahru Road),328 Katong Laksa,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.8280048,1.286308535,168730,Outram
5/27/2021,1240h - 1345h,NTUC FairPrice (50 Havelock Road),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.8268029,1.289764755,160050,Bukit Merah
5/27/2021,1400h - 2200h,Atatzcut Singapore (348 Bedok Road),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.9482603,1.331436231,469560,Bedok
5/27/2021,1605h - 1805h,Health Management Centre (809 French Road),NaN,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01,103.8620598,1.308393967,200809,Serangoon
5/27/2021,1630h - 1700h,Yuhua Village Market and Food Centre (254 Jurong East Street 24),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.737851,1.343516257,600254,Jurong East
5/27/2021,1700h - 1730h,Sheng Shiong Supermarket (200 Woodlands Industrial Park E7),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.7970504,1.450895656,757177,Sembawang
5/27/2021,1725h - 1825h,GP Motoring (282 Macpherson Road),NaN,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.8771304,1.330398343,348607,Kallang
5/27/2021,1755h - 2030h,Lucky Plaza (304 Orchard Road),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.8340052,1.30446379,NIL,Orchard
5/27/2021,2030h - 0200h,ION Orchard (2 Orchard Turn),Tiffany & Co,https://www.todayonline.com/singapore/luxury-boutiques-marina-bay-sands-ion-orchard-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-06-10,103.8317743,1.30419842,NIL,Orchard
5/27/2021,2230h - 2300h,Atatzcutz Singapore (348 Bedok Road),NaN,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.9482603,1.331436231,469560,Bedok
5/26/2021,0900h - 1700h,Sri Murugan Trading Pte Ltd (308 Anchorvale Road),NaN,https://www.todayonline.com/singapore/chinatown-point-plq-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-29,103.8864451,1.389253975,540308,Sengkang
5/26/2021,0905h - 1200h,McDonald's (293 Yishun Street 22),NaN,https://www.channelnewsasia.com/news/singapore/beauty-world-decathlon-lab-covid-19-places-locations-may-29-14911060,Added/ Updated on 2021-05-30,103.8378584,1.435915985,760293,Yishun
5/26/2021,1040h - 1140h,Marsiling Lane Food Centre (20 Marsiling Lane),NaN,https://mothership.sg/2021/06/new-locations-june-5-causeway-point/,Added/ Updated on 2021-06-06,103.7769671,1.443394443,730020,Woodlands
5/26/2021,1130h - 2100h,Tiong Bahru Plaza (298 Tiong Bahru Road),328 Katong Laksa,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.8280048,1.286308535,168730,Outram
